,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Nasionalis Cyber Indonesia #NCI,@NasionalisSiber,2021-05-26T23:20:11.000Z,"Apakah resignnya Alvin Wijaya dari TGUPP terkait dengan kasus mafia jabatan sehingga 239 PNS tak mau ikut lelang jabatan ? 
@aniesbaswedan
 @DKIJakarta
 
#DKIJakarta",,,,,,['https://pbs.twimg.com/media/E2WbWlpVEAQfjF8?format=jpg&name=small'],https://twitter.com/NasionalisSiber/status/1397694081644462082
1,JakShared,@patriot016610,2021-05-26T23:11:14.000Z,"Bekerja dalam sunyi
Era Gubernur 
@aniesbaswedan
 jumlah penduduk miskin di ibu kota 
@DKIJakarta
 merupakan yang terendah dibanding propinsi lain di indonesia.

Majukan kotanya bahagiakan warganya",,🎞,4,52,221,"['https://pbs.twimg.com/media/E2WZSeTUUAAyTZ2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2WZTQQUcAEAEr3?format=jpg&name=360x360']",https://twitter.com/patriot016610/status/1397691827415703556
2,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T23:06:46.000Z,"PDATE Tinggi Muka Air, Kamis 27 Mei 2021 Pukul 06.00 WIB. 
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru
#PerluTahu
#JAKI
https://facebook.com/DinasSDAProvDKIJkrt/…",,,,1,1,['https://pbs.twimg.com/media/E2WYSNbVcAc1AgN?format=jpg&name=small'],https://twitter.com/DinasSDAJakarta/status/1397690705519124481
3,JakShared,@patriot016610,2021-05-26T22:57:32.000Z,"Perayaan keagamaan di ibu kota 
@DKIJakarta
 memberikan arti tersendiri. Berbeda beda tetap satu jua.
Persatuan tersebut yakni perasaan kesetaraan, kebersamaan, hingga bekerja bersama-sama
Inilah yang selalu di hadirkan Gubernur 
@aniesbaswedan
 Merajut Persatuan Kebhinekaan",,🎞,2,23,105,['https://pbs.twimg.com/media/E2WWKnTVkAA4lwn?format=jpg&name=small'],https://twitter.com/patriot016610/status/1397688381627244549
4,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T15:10:47.000Z,"UPDATE Tinggi Muka Air, Rabu 26 Mei 2021 Pukul 22.00 WIB. 
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru
#PerluTahu
#JAKI
http://facebook.com/DinasSDAProvDKIJkrt/…",,,,,1,['https://pbs.twimg.com/media/E2UrTPXUYAMJn2y?format=jpg&name=small'],https://twitter.com/DinasSDAJakarta/status/1397570919338418176
5,P H E R B E E D,@budiawan_firza,2021-05-26T15:07:25.000Z,"Seharusnya 
@DKIJakarta
 melihat program ini sebagai peluang. Melakukan kerjasama untuk menyalurkan warga mudanya yang ingin berkrativitas di bidang pertanian. Agar para pemuda Indonesia tdk hanya terpaut pada kurir online saja.","BERKARYA NETWORK
@BERKARYA_NET
 · 23h
Mindset terkait optimalisasi lahan pekarangan, kini; harus kearah penghasilan tambahan. Tidak lagi, hanya untuk kebutuhan konsumsi rumah tangga. Why? Setiap rumah harus punya produk masuk pasar.  Indonesia butuh bayak Pengusaha. twitter.com/PetaniRasional…
Show this thread",🛰,,,,['https://pbs.twimg.com/profile_images/1335963485272821760/HB7hbdWH_mini.jpg'],https://twitter.com/budiawan_firza/status/1397570072504242176
6,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T14:07:25.000Z,"UPDATE Tinggi Muka Air, Rabu 26 Mei 2021 Pukul 21.00 WIB. 
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru
#PerluTahu
#JAKI
http://facebook.com/DinasSDAProvDKIJkrt/…",,,,,3,['https://pbs.twimg.com/media/E2Uc1k8UUAEmt9X?format=jpg&name=small'],https://twitter.com/DinasSDAJakarta/status/1397554974217834496
7,Covid19Out,@yamanMuharam,2021-05-26T14:01:08.000Z,"Ketum SOKSI, Ali Wongso lantik Depidar SOKSI DKI Jakarta dan Depipus Gerakan Perempuan SOKSI http://teropongsenayan.com/121862-ketum-soksi-ali-wongso-lantik-depidar-soksi-dki-jakarta-dan-depipus-gerakan-perempuan-soksi#.YK5KShBxi9Y.whatsapp… 
@DPPGolkar
 @Info_Golkar
 @iipgolkar
 @fraksigolkar
 @airlangga_hrt
 @kabargolkarnews
 @DKIJakarta
 @PemdaDKIJakarta
 @aniesbaswedan
 @ArizaPatria
 @DivHumas_Polri","Ketum SOKSI, Ali Wongso lantik Depidar SOKSI DKI Jakarta dan Depipus Gerakan Perempuan SOKSI
Ketum SOKSI, Ali Wongso lantik Depidar SOKSI DKI Jakarta dan Depipus Gerakan Perempuan SOKSI
teropongsenayan.com",,,,,['https://pbs.twimg.com/card_img/1397543417429643271/WsS6oUML?format=jpg&name=360x360'],https://twitter.com/yamanMuharam/status/1397553390251507717
8,Bang Ucok,@Chr1sjunt,2021-05-26T13:41:02.000Z,"Ngurusin 
@DKIJakarta
 aja lu 
@aniesbaswedan
 belum mampu, mau ngurusin negara orang lain, ada cermin gak di Balkot ???","Anton Stefanus
@AntonStefanus
 · May 26
.
.
ANDA GUBERNUR PALESTINA
APA GUBERNUR JAKARTA WAHAI BAGINDA @aniesbaswedan ?!!

Pantas aja Jakarta AMBURADUL,
Karena yg jadi agenda utama Anda bukan Jakarta dan Warganya .. Tapi Palestina

Lagian Anda mampu memberikan kemerdekaan buat Palestina ?!!
.
.

https://nasional.sindonews.com/read/434802/12/anies-perjuangan-untuk-kemerdekaan-palestina-selalu-jadi-agenda-utama-1621695929…",,1,3,10,['https://pbs.twimg.com/profile_images/1319548342154637312/QkH40Jtm_mini.jpg'],https://twitter.com/Chr1sjunt/status/1397548333598527491
9,Pemadam DKI Jakarta,@humasjakfire,2021-05-26T13:39:50.000Z,"Petugas #DamkarDKI berhasil mengevakuasi 2 ekor monyet di Jl. Komplek Vika Mas RT. 13 RW. 05, Kel.Kapuk Muara, Kec. Penjaringan, Jakarta Utara (26/5/2021) #JAKI 
@DKIJakarta
 @aniesbaswedan
 @ArizaPatria
 @dprddkijakarta",,,,1,9,['https://pbs.twimg.com/ext_tw_video_thumb/1397547988277334025/pu/img/2h3nku6cEXX4-36b.jpg'],https://twitter.com/humasjakfire/status/1397548030639820803
