,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Haris T,@HarisT91726844,2021-05-26T23:50:52.000Z,"Replying to 
@DKIJakarta","sehat selalu bapak,dan sukses",,,,,[],https://twitter.com/HarisT91726844/status/1397701801156091905
1,buri@L_BunceLik,buri@L_BunceLik,2021-05-26T22:48:44.000Z,"@DKIJakarta
 Mohon di tindak lanjuti terkait masalah sampah,,di daerah Kamal,Kali deres JakBar khususnya di jalan kebun dua ratus RT 009/002
Kepada para petugas yg mengambil sampah setiap subuh agar lebih ikhlas lagi dalam bekerja,
Sampah yg di gantungin di pager dilewatin doang",,,2,,,['https://pbs.twimg.com/media/E2WUKKdVgAIfimh?format=jpg&name=medium'],https://twitter.com/azisefendi83/status/1397686165075992576
2,AYS,@AndreasYufrizal,2021-05-26T21:37:27.000Z,"Replying to 
@DKIJakarta",Jakarta bangkit?.. Udeh bangkit jaman Jokowi Ahok. Skrg tengkurep.. mau bangkit? Ngimpi,😂 😂 😂 😂 😂,,,,[],https://twitter.com/AndreasYufrizal/status/1397668229124792320
3,·,@tonnytoon,2021-05-26T18:10:42.000Z,"@DKIJakarta
 Tiap hari tengah malam banyak anak2 muda kumpul2 di mulut gang di samping Bakso Ocha Jl. Pisangan Baru Timur RW 10, Kel. Pisangan Baru, Kec. Matraman, Jaktim tanpa peduli protokol kesehatan. Jg menganggu ketentraman warga dgn mengobrol & tertawa dgn suara keras",,🇨 🇲 🇴 🇳 🇲 🇴 🇻 🇪 🇴 🇳,2,,,[],https://twitter.com/tonnytoon/status/1397616196334219266
4,Erwin007,@erwin_wd007,2021-05-26T17:52:23.000Z,"Replying to 
@DKIJakarta","Mau tanya min apakah diperbolehkan warga yg bikin acara dgn berkumpul2 dlm kondisi pandemi spt ini ?, sementara baru bbrp hari yg lalu ada berita daerah yg sama tp RT yg berbeda sdg di lockdown krn covid menyebar di RT tsb. Mohon infonya ",🙏,2,,,[],https://twitter.com/erwin_wd007/status/1397611585992990720
5,With love,@Amall_AN,2021-05-26T17:36:16.000Z,"Replying to 
@DKIJakarta
 @Disdik_DKI
 and 2 others",Ksaih penjelasan buat pra?? Tidak smua,,,,,[],https://twitter.com/Amall_AN/status/1397607531833294848
6,Irmayati2015@gmail.com,Irmayati2015@gmail.com,2021-05-26T16:33:50.000Z,"Replying to 
@DKIJakarta
 @aniesbaswedan
 and 2 others",by mknnya bggj,,,,,[],https://twitter.com/irmayati2015/status/1397591819571978241
7,Moch Mustaqim A,@GOSACIM,2021-05-26T15:25:58.000Z,"Replying to 
@DKIJakarta","Covid19 hitungannya virus yang menyerang seluruh dunia,,,!!! Kalau dunia bersatu melawan dan mencegah kira2 gimana ea????",,,,,[],https://twitter.com/GOSACIM/status/1397574740814876675
8,kang pentol,@jacob_sianipar,2021-05-26T15:09:44.000Z,"@DKIJakarta
 min tolong perbaiki jalan di sepanjang jembatan pancoran arah cawang. Ada bbrapa lubang cukup dalam yg bahaya bagi pengendara motor dan mobil.",,,1,,,[],https://twitter.com/jacob_sianipar/status/1397570656775016449
9,ndra_ndrae,@NNdrae,2021-05-26T12:36:24.000Z,"Replying to 
@DKIJakarta
 @tamanhutandki
 and 2 others","Bro coba konsul ke 
@PetaniRasional
 & mon 
@BERKARYA_NET
 bisa kagak hutan taman kota yg sebrang cijantung mall di tanami pohon lada varitas yg merambat. Biar emak3 happy ke hutan kota sambil panen lada fresh gratis",😍 😍 😍,,,,[],https://twitter.com/NNdrae/status/1397532066967736321
10,nisamrw,@nisanichan,2021-05-26T12:11:46.000Z,"Replying to 
@DKIJakarta",Terima kasih ,,,,,[],https://twitter.com/nisanichan/status/1397525869812338693
11,Putera Mulia,@RianHandrijoko,2021-05-26T12:10:38.000Z,"Replying to 
@DKIJakarta",Adakah nomor yg ada WA nya supaya warga masyarakat yang menghubungi bisa lebih hemat dan tidak malahan menjadi boros biaya jika menghubungi nomor tersebut ?????,,1,,,[],https://twitter.com/RianHandrijoko/status/1397525581923717126
12,Putera Mulia,@RianHandrijoko,2021-05-26T12:08:46.000Z,"Replying to 
@DKIJakarta",Terimakasih,,,,,[],https://twitter.com/RianHandrijoko/status/1397525111670861824
